"center","id","SSQC11","visit","SSQC1","SSQC2","SSQC3","SSQC4","SSQC5","SSQC6","SSQC7","SSQC8","SSQC9","SSQC10","SSQC12"
"SO","SO12306","DJL",16,5,5,5,5,5,4,5,5,3,5,4/15/2003
"SO","SO12319","BBN",16,4,4,4,4,4,5,5,5,5,5,7/15/2003
"SO","SO12331","ABW",16,5,5,5,5,5,5,5,4,4,4,3/15/2003
"SO","SO12343","DJL",16,4,4,4,5,3,3,5,2,5,5,9/15/2003
"SO","SO12355","BBN",16,5,5,5,5,5,3,5,4,1,4,3/15/2003
"SO","SO12364","BBN",16,4,5,5,5,5,5,5,5,5,5,9/15/2003
"SO","SO12370","BBN",16,5,5,3,5,5,5,5,5,5,5,4/15/2003
"SO","SO12392","BBN",16,3,5,3,4,3,4,5,5,3,4,3/15/2003
"SO","SO12441","ABW",16,4,4,3,5,4,4,4,3,2,2,12/15/2002
"SO","SO12462","ABW",16,5,5,5,5,4,5,5,5,5,5,1/15/2003
"SO","SO12473","DJL",16,4,4,4,4,5,4,5,4,4,5,5/15/2003
"SO","SO12490","DJL",16,1,5,3,4,3,5,3,2,5,5,9/15/2003
"SO","SO12524","BBN",16,4,3,2,4,2,3,5,3,2,4,4/15/2003
"SO","SO12552","BBN",16,4,4,5,4,4,4,4,3,3,4,5/15/2003
"SO","SO12567","BBN",16,5,5,4,5,4,4,5,5,5,5,4/15/2003
"SO","SO12595","BBN",16,5,3,4,4,3,3,5,4,4,4,4/15/2003
"SW","SW20010","MAG",16,4,3,3,5,5,4,4,4,4,5,1/15/2005
"SW","SW20051","ASL",16,4,5,5,4,3,3,4,4,1,3,9/15/2004
"SW","SW20096","KAH",16,4,3,2,4,3,4,2,3,2,3,8/15/2004
"SW","SW20124","MAG",16,5,3,4,4,4,4,5,5,4,4,7/15/2004
"SW","SW20139","KAH",16,4,4,4,4,3,5,5,5,2,5,10/15/2004
"SW","SW20146","ASL",16,4,4,4,5,4,4,5,5,4,5,7/15/2004
"SW","SW20167","KAH",16,5,5,5,5,5,5,5,5,5,5,11/15/2004
"SW","SW20178","ASL",16,5,5,5,5,5,5,5,5,5,5,3/15/2005
"SW","SW20195","ASL",16,5,5,5,5,5,5,5,5,5,5,4/15/2004
"SW","SW20228","KAH",16,3,5,5,5,3,2,5,5,5,5,7/15/2005
"SW","SW20230","MAG",16,3,2,2,2,2,4,4,2,1,2,2/15/2005
"SW","SW20242","MAG",16,5,5,5,5,5,5,5,5,5,5,2/15/2005
"SW","SW20263","KAH",16,5,5,3,5,5,5,5,4,5,5,11/15/2004
"SW","SW20274","ASL",16,4,3,1,5,4,4,4,2,4,4,9/15/2004
"SW","SW20427","KAH",16,5,4,4,5,3,5,2,4,4,5,11/15/2004
"SW","SW20431","ASL",16,3,3,3,3,3,4,3,5,2,2,4/15/2004
"SW","SW20455","ASL",16,3,3,2,2,3,4,3,1,3,2,10/15/2004
"SW","SW20464","ASL",16,5,5,5,5,5,5,5,5,4,5,2/15/2005
"SW","SW20500","KAH",16,4,5,2,4,4,3,1,3,1,1,9/15/2004
"SW","SW20549","MAG",16,1,5,1,3,5,3,1,3,3,5,8/15/2004
"SW","SW20576","MAG",16,3,5,3,5,4,5,5,4,1,5,8/15/2005
"SW","SW20598","KAH",16,5,5,4,5,5,5,5,3,4,3,8/15/2005
"SW","SW20614","KAH",16,5,5,5,5,5,5,5,5,5,5,7/15/2005
"SW","SW20622","ASL",16,4,4,4,4,3,4,4,3,3,3,4/15/2005
"SW","SW20636","ASL",16,5,5,5,5,5,5,5,5,3,5,4/15/2005
"SW","SW20669","KAH",16,4,5,5,5,5,5,5,5,2,4,5/15/2006
"SW","SW20697","KAH",16,5,5,1,5,3,5,5,3,5,5,8/15/2005
"SW","SW20708","KAH",16,4,5,5,5,5,5,5,5,5,5,8/15/2004
"SW","SW20716","KAH",16,4,5,5,5,5,5,5,5,5,5,8/15/2004
"SW","SW20729","KAH",16,4,4,3,4,4,4,4,3,2,2,3/15/2005
"SW","SW20741","KAH",16,5,3,4,5,3,5,5,5,4,4,4/15/2006
"SW","SW20757","KAH",16,5,3,4,5,3,5,5,5,4,4,4/15/2006
"SW","SW20762","KAH",16,4,2,1,5,3,2,5,3,5,5,3/15/2006
"SW","SW20773","KAH",16,5,5,4,5,4,4,5,5,4,3,6/15/2005
"SW","SW20790","MAG",16,5,5,4,5,4,5,4,5,5,5,3/15/2005
"SW","SW20805","MAG",16,5,3,3,5,3,3,3,5,3,3,9/15/2004
"SW","SW20826","KAH",16,3,4,3,5,5,4,5,5,3,5,8/15/2005
"SW","SW20844","MAG",16,3,3,3,4,3,3,4,3,2,4,6/15/2004
"SW","SW20859","KAH",16,5,5,5,5,5,5,5,5,4,5,1/15/2006
"SW","SW20860","MAG",16,4,3,3,3,3,3,1,1,3,1,5/15/2004
